time,[raw] acc (e_r),[raw] acc (e_theta),[raw] acc (e_phi),[raw] w (e_r),[raw] w (e_theta),[raw] w (e_phi),[raw] euler (alpha),[raw] euler (beta),[raw] euler (gamma),delta time,acc (e_r),acc (e_theta),acc (e_phi),w (e_r),w (e_theta),w (e_phi),euler (alpha),euler (beta),euler (gamma),vel (e_r),vel (e_theta),vel (e_phi),acc (x),acc (y),acc (z),vel (x),vel (y),vel (z),pos (x),pos (y),pos (z)
0.96,-0.001,1.1199999999999999,-0.107,-0.24413665576896681,0.0009599310885968813,-0.036180675393842454,6.277774786498404,6.262415889080854,0.0153588974175501,0,-0.001,1.135575107414629,-0.18347932595586852,-0.1333826708872512,-0.032941059189259804,-0.013327364722187804,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,1.135575107414629,-0.18347932595586852,0.0,0.0,0.0,0.0,0.0,0.0
1.001,-0.001,1.13,-0.327,-0.14378022377929287,-0.09171705219230201,-0.060266219071364195,6.279869181600797,6.26677921221084,0.022863813201125717,0.040999999999999925,-0.0010548705560920442,1.1893282198896475,-0.24903195368594347,-0.11444854966043935,-0.03233067424493778,-0.006969183149757885,0.0,0.0,0.0,-4.212484639988683e-05,0.04766051820973758,-0.00886648123265713,-0.0010548705560920442,1.1893282198896475,-0.24903195368594347,-4.212484639988683e-05,0.04766051820973758,-0.00886648123265713,-8.635593511976784e-07,0.0009770406232996187,-0.00018176286526947085
1.043,-0.001,1.2999999999999998,-0.287,0.05693264020005503,0.0009599310885968813,0.09471901850573228,6.278821984049601,6.267826409762036,0.022863813201125717,0.04200000000000004,-0.002841152776643472,1.2512357485784937,-0.2710234181933694,-0.08653189069362788,-0.030265451226876645,0.0012784489735670436,0.0,0.0,0.0,-0.00011211230306907323,0.09886557139931085,-0.02009641663514599,-0.002841152776643472,1.2512357485784937,-0.2710234181933694,-0.00011211230306907323,0.09886557139931085,-0.02009641663514599,-3.91905930548263e-06,0.004037801483050812,-0.0007753026765758425
1.084,-0.001,1.6099999999999999,-0.297,-0.04569271981721155,-0.08299040593233037,0.01722639971718403,6.276727588947208,6.270095337789629,0.02181661564992912,0.04100000000000015,-0.023927405802863698,1.034760764748782,-0.2022815023345988,-0.05865513956355287,-0.02716214735378726,0.007542142423444722,6.278298385274002,6.2667792122108406,0.020725784867432664,-0.0005372206498699187,0.14771477538136513,-0.03012223003782355,-0.03229849510751879,1.0302275441842248,-0.22317746664171015,-0.0006501963266644513,0.1476535953314695,-0.030404240613025213,-1.6439616249561685e-05,0.009116121321695939,-0.00182983297966494
1.125,-0.001,0.09,0.013,-0.1535540675904611,0.042498767286061924,-0.024137903555081577,5.598143575771812,0.2541199390903744,3.2583551805482136,0.040999999999999925,-0.10969439612396235,0.4596679939040647,-0.08161161325803394,-0.03268552160919597,-0.024877808822015613,0.01235423332316726,6.108390582592354,0.052316244328530104,5.543863836034788,-0.0029581296552672297,0.17881484435283934,-0.035973817525939936,-0.18343708858715388,0.3819250188796612,0.22465995429494345,-0.004423566000918656,0.17750454096997673,-0.032930418818171346,-0.00010145072865097139,0.015886589563551413,-0.0031621012479498924
1.166,-0.411,-0.19000000000000003,0.013,-0.03574434308084387,0.01841322360854018,-0.03408628029144925,5.597096378220615,0.256388867117967,3.2614967732018036,0.040999999999999925,-0.20510906484718106,0.08178039826972981,-0.01974941133633316,-0.009478976275247183,-0.023526216929045704,0.01847622603140551,5.937697381747309,0.12051498485020762,4.782725749240061,-0.009664012736863788,0.18810268827604024,-0.03761808738276546,-0.21670964347740648,0.04654971215048299,0.00422563538121724,-0.014081201730089483,0.18324811886679856,-0.02111517147212839,-0.0004595903310754178,0.023342026322097635,-0.004334127840222068
1.207,-0.181,0.039999999999999994,-0.007000000000000001,0.1726479696072791,-0.12226031410220278,0.06749188217462072,5.598143575771812,0.2530727415391778,3.2571334500718176,0.04100000000000015,-0.15702900238511924,0.1425935004579176,-0.040697273536223884,0.004545863518325043,-0.019639557415296497,0.02632978054138925,5.767527779677861,0.1876228945893903,4.020496831662838,-0.017815978313203928,0.19151641321453164,-0.03872500679851434,-0.1957017081982725,0.03076608070510636,0.08603238763695484,-0.021451923400417718,0.1856893702618616,-0.0284532887442622,-0.001224854778380796,0.030867803515104875,-0.005155307958446171
1.247,0.049,0.59,-0.16699999999999998,0.09620254836992743,-0.043720497762457955,0.08930849782454985,5.601459701350601,0.2509783464367846,3.2506757318394386,0.040000000000000036,-0.04598213359860574,0.3178103012919289,-0.06408868825403048,0.0026331846805991415,-0.010144422326070289,0.033700452688890416,5.59871080777871,0.25363997354607637,3.256915283915318,-0.0215866196029728,0.20111805224823848,-0.04093276242890229,-0.21291484187561233,-0.20173958128433764,0.14557992867140743,-0.03045013233942804,0.18289809170186708,-0.014494081089766695,-0.0022137033641793187,0.03831236438875032,-0.006353625365235505
1.291,0.079,0.32,-0.007000000000000001,-0.08932595111706979,0.021729349187329404,-0.024137903555081577,5.601459701350601,0.24975661596038856,3.251722929390635,0.04399999999999982,-0.0670374506418819,0.29529546746454216,-0.014674887220780114,-0.012975344302303956,0.002040027655971546,0.03910637940680561,5.599539839173406,0.25254914276357887,3.2552572211259236,-0.023399240197039643,0.21566088391590862,-0.043059041279718886,-0.22725599288281595,-0.1770182810000114,0.09448823788839729,-0.03933891312174466,0.172050378452114,-0.01775518321212953,-0.003805044386936597,0.04610073916192139,-0.006598502709756575
1.331,-0.311,0.09,0.083,-0.10346311805822388,0.11772245804701753,0.05876523591464908,5.603554096452995,0.2541199390903744,3.256086252520621,0.040000000000000036,-0.21924812163556343,0.15888622396083552,0.061193267597818124,-0.03226152049977972,0.009242587046186086,0.04303589113091143,5.601154268731502,0.2519819107566814,3.253904590955628,-0.028814047796568504,0.2245479779637497,-0.04196419771142312,-0.2770773453952608,0.015684543347689685,0.0064285902998699185,-0.049948356295131335,0.17007905000757748,-0.006886311207525362,-0.005516095125715157,0.05290543160632294,-0.00765830704447301
1.37,-0.411,0.01999999999999999,0.163,-0.0226543736908864,0.017366026057343577,0.05649630788705645,5.605823024480587,0.256388867117967,3.2571334500718176,0.039000000000000146,-0.3083423284735013,0.09300050716713754,0.07954103798650067,-0.04727760099117705,0.006739932286123429,0.04600227872180723,5.603074130908697,0.25281094215137845,3.2539045909556283,-0.03980862686891018,0.2292086002216399,-0.039013292468184316,-0.3086388874799098,0.1205647380914711,-0.0160325808862416,-0.06096054764972246,0.17203428646957372,-0.016347041960170353,-0.00774905731916159,0.05958867267820367,-0.00741057806109886
