time,[raw] acc (e_r),[raw] acc (e_theta),[raw] acc (e_phi),[raw] w (e_r),[raw] w (e_theta),[raw] w (e_phi),[raw] euler (alpha),[raw] euler (beta),[raw] euler (gamma),delta time,acc (e_r),acc (e_theta),acc (e_phi),w (e_r),w (e_theta),w (e_phi),euler (alpha),euler (beta),euler (gamma),vel (e_r),vel (e_theta),vel (e_phi),acc (x),acc (y),acc (z),vel (x),vel (y),vel (z),pos (x),pos (y),pos (z)
0.774,-0.001,0.15,0.013,0.00020943951023931956,-8.726646259971648e-05,-0.00022689280275926284,0.0,0.0,0.0,0,-0.001,0.15000000000000002,0.013,-0.05799329783147436,-0.002745757000126572,-0.015469353921638054,0,0,0,0.0,0.0,0.0,-0.001,0.15000000000000002,0.013,0.0,0.0,0.0,0.0,0.0,0.0
0.808,-0.001,0.15,0.013,0.00020943951023931956,-8.726646259971648e-05,-0.00022689280275926284,0.0,0.0,0.0,0.03400000000000003,-0.0009330846876926292,0.15021948222436818,0.011671061897575614,-0.10325538530122053,-0.006094986891629142,-0.032059093465703625,0,0,0,-3.286243969077473e-05,0.005103731197814264,0.00041940805225878575,-0.0009330846876926292,0.15021948222436818,0.011671061897575614,-3.286243969077473e-05,0.005103731197814264,0.00041940805225878575,-5.586614747431709e-07,8.676343036284257e-05,7.129936888399364e-06
0.843,-0.001,0.15,0.013,0.00020943951023931956,-8.726646259971648e-05,-0.00022689280275926284,0.0,0.0,0.0,0.03499999999999992,0.001270801366107677,0.15742081996891208,-0.03227710020825822,-0.18001228547748813,-0.013543028193192391,-0.06460573750370054,0,0,0,-3.906091281417764e-05,0.01044787600242848,0.0003002925907173699,0.001270801366107677,0.15742081996891208,-0.03227710020825822,-3.906091281417764e-05,0.01044787600242848,0.0003002925907173699,-1.974024601262028e-06,0.00035840440444311777,2.2848855865701317e-05
0.879,-0.001,0.15,0.013,-0.19282397576033353,-0.003403392041388943,-0.006684611035138282,0.0,0.0,0.0,0.03600000000000003,0.02790898502428764,0.24380654699118987,-0.5663477424545316,-0.2506568198151078,-0.024705308578689744,-0.10370772108622339,0.0,0.0,0.0,0.00035600483862984134,0.017248454735145573,-0.007862458406666217,0.02790898502428764,0.24380654699118987,-0.5663477424545316,0.00035600483862984134,0.017248454735145573,-0.007862458406666217,1.5440709409577075e-06,0.0008498393000113862,-6.945570853371509e-05
0.916,-0.001,0.15,0.013,-0.9543111284054595,-0.02399827721492203,-0.2260724980108255,0.0,0.0,0.0,0.03700000000000003,0.14542811977438036,0.6154680634631838,-2.9425654189566295,-0.2626277428233797,-0.035960675267038215,-0.12817676271889386,0.0,0.0,0.0,0.0031516596311656816,0.03186801756853463,-0.06441774649753432,0.14542811977438036,0.6154680634631838,-2.9425654189566295,0.0031516596311656816,0.03186801756853463,-0.06441774649753432,5.4274304768496073e-05,0.001719778250796453,-0.0011612421924516638
0.955,0.499,1.7899999999999998,-9.917,-0.7022855844174783,-0.10585421913345608,-0.6493148416194503,0.030543261909900768,0.0033161255787892262,0.05899212871740834,0.038999999999999924,0.3404707663268349,1.1701836443357245,-6.766776711076954,-0.18757121625684664,-0.04141803758409681,-0.11941189385260728,0.007635815477475192,0.0008290313946973066,0.014748032179352085,0.01259766434473417,0.0669575113919294,-0.2539497456239935,0.35500580986198604,1.0676340953404049,-6.78296730606881,0.0127912164629202,0.06559193705573532,-0.2541653434615773,0.00033593536323167563,0.0035457130793390443,-0.006814284410310249
0.992,0.409,1.2899999999999998,-9.467,0.4342728244812291,-0.14739305533092115,0.17866935552665952,0.03490658503988659,0.00767944870877505,0.05672320068981571,0.03700000000000003,0.5077670884860062,1.4540661239723676,-8.854679869726102,-0.05271097598191639,-0.03778045029394862,-0.08272105807110569,0.01636246173744684,0.002748893571891069,0.028928832351806013,0.028434744831403007,0.11681672386671083,-0.552785881804701,0.5558286912510954,1.1888820978340209,-8.89129378256045,0.029747570650499433,0.10843984910448382,-0.5540454810128993,0.001101214840631978,0.0067690925945928385,-0.021544242289571247
1.028,0.719,1.71,-8.967,0.37650242624021674,0.11126473981463851,0.13608332177799787,0.02949606435870417,0.004363323129985824,0.04153883619746504,0.03600000000000003,0.6652650406005962,1.5226978863060183,-9.053295746228935,0.07882960188568011,-0.02813454387296923,-0.046837161318450636,0.023736477827122883,0.0038397243543875246,0.03931354140117227,0.049437207973763365,0.17036891097767035,-0.8766013599540716,0.735974633729816,1.1495983616440633,-9.10275316820711,0.052988222491465405,0.15040060065285665,-0.879386496016637,0.002570536757854936,0.011422757469220274,-0.04736081608543225
1.065,0.859,1.43,-8.617,0.24019221165945964,-0.047036623341247176,0.15580554232553379,0.023911010752322315,0.004363323129985824,0.032812189937493394,0.03699999999999992,0.7578221453374092,1.512173689787719,-9.065233342062168,0.16055593860241363,-0.01940618098018056,-0.03578400943185834,0.02971423051520346,0.00493055513688398,0.04751658888554562,0.07629264307105785,0.2270303397355542,-1.2114762691003707,0.8471007798879256,1.0569170119877835,-9.121664646136125,0.08273140219452114,0.19166710579311935,-1.2162814801611115,0.005066104066002471,0.017767640574095928,-0.08610076378647656
1.105,0.789,1.42,-9.637,0.15955800021732164,0.0009599310885968813,-0.18139206915977069,0.027227136331111543,0.006457718232379019,0.027227136331111543,0.040000000000000036,0.6888409146312438,1.5523949592019006,-9.391915162822798,0.18986624716904915,-0.01640819295087205,-0.04553543866991018,0.028885199120506154,0.005715953300281429,0.03957534078897142,0.10574635284513131,0.2874852806894687,-1.5789903976509962,0.7870600434580814,1.1592340959728378,-9.4408270368338,0.1160761829343347,0.2342877319659793,-1.5859347657768292,0.009050118609219138,0.026282464326131707,-0.14214123243636434
