time,[raw] acc (e_r),[raw] acc (e_theta),[raw] acc (e_phi),[raw] w (e_r),[raw] w (e_theta),[raw] w (e_phi),[raw] euler (alpha),[raw] euler (beta),[raw] euler (gamma),delta time,acc (e_r),acc (e_theta),acc (e_phi),w (e_r),w (e_theta),w (e_phi),euler (alpha),euler (beta),euler (gamma),vel (e_r),vel (e_theta),vel (e_phi),vel (x),vel (y),vel (z),pos (x),pos (y),pos (z)
0.915,0.0,0.0,0.0,-0.2713637921000784,-0.08403760348352696,0.8822115770055738,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
0.958,15.748,12.677,-5.375,0.0928864227911382,0.19294614880797312,-0.8205316412400941,6.2264621064897705,0.010995574287564275,0.0010471975511965976,0.04299999999999993,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.002,14.097999999999999,11.427,-4.944999999999999,-0.09473647179825222,0.6292784618065556,-2.6705806483540835,0.02949606435870417,6.270095337789629,6.278821984049601,0.04400000000000004,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.045,14.277999999999999,13.357000000000001,-3.9949999999999997,0.09951867394871668,0.4547455366071226,-3.451615488621546,0.14503686084072878,6.253689242820882,0.0,0.04299999999999993,11.030999999999999,9.36525,-3.57875,-0.04342379178961893,0.29823313593453105,-1.5151290503025376,0.029452431127404304,6.275287692314312,6.282356275784889,0.23716649999999959,0.20135287499999965,-0.07694312499999986,0.2423778784185411,0.1943467402441817,-0.07869867907130566,0.005211124385998625,0.004178454915249899,-0.001692021600033069
1.087,24.738,17.947,-2.585,1.4640170831578836,2.3550600261785486,-8.657059982694634,0.3883357585687383,6.196966042131066,6.265732014659643,0.04200000000000004,17.2155,13.852,-4.225,0.3904214270248716,0.90800754335005,-3.8999469402275895,0.12653637076958887,6.253732876052182,6.277992952654904,0.830343,0.6889151250000001,-0.240821875,0.9031580413487044,0.5800001098254443,-0.2645262700204387,0.029267378701110798,0.020439738766712057,-0.008899745530959707
1.131,6.838,18.057000000000002,-8.155,6.594237886470016,6.156561669947398,-22.423344457799907,1.2184143508172416,5.919982289839567,6.236235950300939,0.04400000000000004,14.988,15.197,-4.92,2.015759292944591,2.3989114236349063,-9.300650144367543,0.44532075864635323,6.160183228145286,6.265993814047443,1.5388200000000007,1.3279931250000008,-0.44201187500000017,1.8917268990056857,0.5472321441809156,-0.6699354819994058,0.09075484738890743,0.04523884835485199,-0.029457904075396304
1.175,-0.342,-11.343,-11.615,4.587109246676537,6.830782359992807,-28.208063730609915,2.31151406134129,5.748765490218922,0.2715732316103177,0.04400000000000004,11.378,9.5045,-6.5875,3.1862207225632884,3.949287398181469,-15.685020914931501,1.0158252578919997,6.0298507662526095,0.05179264555293185,2.1188720000000014,1.8714261250000013,-0.6951768750000005,2.446390384007686,-0.883644941540897,-1.3074673562178156,0.1861934276152017,0.0378377668129324,-0.07296076651617521
1.217,0.598,-9.383,-13.745,2.646652184309241,8.457080157001124,-27.963717635330706,3.495021827118645,5.9974749086281145,0.6654940437854379,0.04200000000000004,7.958,3.8195000000000014,-9.024999999999999,3.8230041001534194,5.949871053279969,-21.81304645160879,1.8533214994614788,5.965797182704417,0.21816615649929133,2.524928000000002,2.1512301250000014,-1.0230393750000006,0.9747349146335322,-3.2552251945879007,-0.7092691995331872,0.25803705888666734,-0.049078506045772435,-0.1153122341869463
1.262,-1.032,-11.052999999999999,-16.355,0.6187541264170296,11.447178231517809,-26.988427649316275,4.996004983833768,0.18867009214058703,0.6380923745291269,0.04499999999999993,1.5155,-3.430499999999999,-12.467500000000001,3.6116883609682056,8.222900604614784,-26.395888368264202,3.0052388057777364,6.034519522001694,0.38205257326155884,2.7380817500000014,2.1599826250000014,-1.5066206249999998,-2.7154469980229794,-2.6534709123585807,0.13402251995567682,0.21887103701040483,-0.18202416845206804,-0.12825528447744028
1.306,0.228,-15.833,-22.465,-1.1450756156484398,14.504646015161475,-25.484302899947565,6.1315161951812795,0.22794000031045944,0.3762929867299774,0.04400000000000004,-0.137,-11.902999999999999,-16.045,1.676859985438592,10.309921690918305,-27.161127978801115,4.233514266868746,6.182305276414314,0.487863159163715,2.7684087500000016,1.8226456250000012,-2.1338956250000005,-3.093445988753742,0.5699217932252648,-2.376008351010712,0.09107539130131687,-0.227862249073001,-0.1775789727606511
1.348,4.248,-16.433,-28.305,-2.9450336732301916,17.95725634145666,-23.036478624025516,0.8836602002847291,6.212324939548616,0.3611086222376268,0.04200000000000004,1.0105,-13.1755,-20.2175,-0.20617574453809018,13.091540186284266,-25.86823170215502,5.447347128399502,0.01500983156715123,0.5102470068205422,2.7867522500000015,1.2959971250000009,-2.895408125000001,0.9505826086085829,1.1550995015943388,-3.9485595736713623,0.04607526031826849,-0.1916368018817893,-0.3103948991789748
