time,[raw] acc (e_r),[raw] acc (e_theta),[raw] acc (e_phi),[raw] w (e_r),[raw] w (e_theta),[raw] w (e_phi),[raw] euler (alpha),[raw] euler (beta),[raw] euler (gamma),delta time,acc (e_r),acc (e_theta),acc (e_phi),w (e_r),w (e_theta),w (e_phi),euler (alpha),euler (beta),euler (gamma),vel (e_r),vel (e_theta),vel (e_phi),vel (x),vel (y),vel (z),pos (x),pos (y),pos (z)
0.917,0.0,0.0,0.0,-0.6663318018263951,0.10026916552707424,-0.5576850558897481,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
0.959,3.528,14.077,-7.185,0.13215633096101062,0.096953039948285,-0.5980021616108171,0.02844886680750757,-0.004363323129985824,0.06213372137099813,0.041999999999999926,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.002,4.298,15.627,-6.225,1.5240564094264886,-0.0678060414399797,-0.7224441372780128,0.061086523819801536,-0.0010471975511965976,0.006457718232379019,0.04300000000000004,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.046,-2.582,13.737,-2.075,9.70424008059871,-2.332370745902622,1.0066535526727693,0.053407075111026485,0.05131268000863329,-0.22043508452688385,0.04400000000000004,1.3110000000000002,10.86025,-3.87125,2.6735302547899535,-0.5507386454668106,-0.21786945052645218,0.0357356164345839,0.011475539831862717,-0.03796091123087668,0.02884200000000003,0.23892550000000023,-0.08516750000000008,0.038334780425408506,0.24078699048163377,-0.07564937802145802,0.0008433651693589879,0.005297313790595948,-0.001664286316472078
1.088,1.498,-21.012999999999998,-43.365,31.059390676300527,-8.25776355642337,5.34048061829989,6.191555521449884,0.3206169835913584,-1.1049679494376101,0.04200000000000004,1.6855000000000002,5.607000000000001,-14.7125,10.604960874321684,-2.6402468259544216,1.2566719680209573,1.583624496797055,0.09162978572970232,-0.3142028985902792,0.0917685000000001,0.5847377500000006,-0.47542625000000044,0.6245668426860627,0.035414465555257055,-0.4301533304566813,0.014764299254699895,0.01109754436737066,-0.012286143194513014
1.131,4.288,-17.602999999999998,-32.265,31.76624902335823,-8.204181948387145,8.023924343241172,5.460786163639858,0.5007349623971732,-2.5068164046394554,0.04299999999999993,1.8755000000000002,-2.312999999999999,-20.9825,18.513484047420988,-4.715530573038279,3.4121535942339545,2.9417088210051423,0.21790435711149206,-0.9564404300928926,0.16832999999999998,0.6555587500000005,-1.242868749999999,0.23469789614647332,0.6081100468403853,-1.256158454098975,0.03323849113959938,0.024933321383876945,-0.048541846562459565
1.176,12.668,-4.3629999999999995,-34.135,31.47181197854679,-6.439305008770479,10.469654224060823,1.032013186704247,0.09058258817850572,2.115164520491928,0.04499999999999993,3.968,-7.310499999999999,-27.96,26.000422939701068,-6.308405314870904,6.210178184568663,3.1844404867262543,0.24081180354391765,-0.4292637295280054,0.2998087499999998,0.4390300000000009,-2.3440749999999975,0.24988746142569623,0.591900010350717,-2.3161456921943824,0.04414166168497318,0.051933547670676705,-0.12891868985405996
1.219,18.478,-5.223000000000001,-45.255,31.46308533228682,-4.307734393309804,11.266920626371833,0.5115560037595379,-0.3010692959690218,0.8662069077647858,0.04300000000000015,9.233,-12.0505,-38.754999999999995,31.440134252623093,-6.8022462267226995,8.77524495299343,3.2989777188883815,0.15271630954950388,-0.15760323145508798,0.5836302500000008,0.022768499999999525,-3.7784475000000026,0.0015548568560145304,0.6681129183149926,-3.7644961009893962,0.04954767152802998,0.07902382563698956,-0.25965248840751165
1.265,18.068,-15.972999999999999,-47.515,31.9920946285663,-1.7464637160081258,10.48379139100198,0.23020892833805207,-0.19966566642815128,-0.8148942277561524,0.04599999999999982,13.375499999999999,-10.7905,-39.792500000000004,31.67331024068954,-5.1744212666188885,10.061072646168952,1.8086410706104237,0.022645647044626453,-0.08508480103472355,1.1036257499999986,-0.5025744999999985,-5.585039999999996,-0.6217918094844128,-0.47474657407912263,-5.6613808705802064,0.03528222161757688,0.08347125155441455,-0.4764476587536116
1.309,10.927999999999999,-19.493,-34.555,32.57346380240561,-0.502916623962166,8.629379060758005,6.169738905799955,0.14067353771074298,-2.069262361164477,0.04400000000000004,15.035499999999999,-11.262999999999998,-40.365,31.875113935451378,-3.249104935512644,10.21243632554816,1.985879256150448,-0.06736970912698109,0.02430370983402108,1.7286677499999992,-0.9877514999999989,-7.348504999999998,-2.0920475341158546,-1.3587524616190403,-7.1931634079667095,-0.024422243941629056,0.04313427276905493,-0.759247632881644
1.351,4.708,-8.373,-29.965,33.08187821351156,-0.37306412761378793,6.23600905749818,3.4754741394963085,0.24225170017681297,2.8961993607593906,0.04200000000000004,13.0455,-12.265499999999998,-39.322500000000005,32.27763049419257,-1.7325447152234712,9.1540250339075,2.596744494348463,-0.029452431127404283,0.21956241990088676,2.3183687499999994,-1.4818499999999992,-9.0219425,-3.01519505780894,-1.8823809278721257,-8.736784326199807,-0.13167433837204984,-0.02492952841025961,-1.093776535299141
