time,[raw] acc (e_r),[raw] acc (e_theta),[raw] acc (e_phi),[raw] w (e_r),[raw] w (e_theta),[raw] w (e_phi),[raw] euler (alpha),[raw] euler (beta),[raw] euler (gamma),delta time,acc (e_r),acc (e_theta),acc (e_phi),w (e_r),w (e_theta),w (e_phi),euler (alpha),euler (beta),euler (gamma),vel (e_r),vel (e_theta),vel (e_phi),vel (x),vel (y),vel (z),pos (x),pos (y),pos (z)
0.929,0.0,0.0,0.0,6.094724654549239,-23.5468478038937,11.31055385767169,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0
0.973,-5.512,-10.043,-19.955000000000002,4.848908634475686,-21.29100974569103,15.505976313615662,4.510628918854145,0.7134905982152819,2.2132520244540093,0.04399999999999993,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.017,5.448,-8.253,-11.665,3.0152657223304438,-17.854805514364593,19.586730637703607,2.519906374029413,-0.2869321290278678,2.1249383643030963,0.04399999999999993,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.06,11.208,-13.103,-12.094999999999999,1.4826921061542229,-15.018645479873806,21.867701437134997,1.1901400169349332,-1.279500874637043,1.7081537389268504,0.04300000000000015,2.7860000000000005,-7.84975,-10.92875,3.860397779377398,-19.427827135955784,17.06774056153149,2.0551688274546227,-0.21323560136240724,1.511586031920989,0.059899000000000216,-0.1687696250000006,-0.23496812500000083,-0.22295806415085928,-0.19028625812945194,-0.036904442643803374,-0.004793598379243491,-0.004091154549783231,-0.0007934455168417753
1.103,7.5680000000000005,-20.053,-13.594999999999999,-0.009564404300928926,-12.409378248142282,23.394864532630034,0.18552849948699723,-0.5628686837681712,-0.9196139828758122,0.04299999999999993,4.678000000000001,-12.863,-14.3275,2.334325514664856,-16.64345974701793,20.088818230271077,2.101550952326372,-0.35395277230445005,1.281682536202036,0.220375,-0.6140937499999999,-0.7779775,-0.8710682451616192,-0.45201867106833626,-0.26046976445834313,-0.02831516402946174,-0.017900710527535654,-0.007186990969537914
1.148,-5.592,-20.183,-12.465,-1.7877058462327517,-9.709528428232254,24.420245468176702,5.733406592801373,0.42219514605742836,-0.8780751466783472,0.04499999999999993,4.658,-15.398000000000001,-12.454999999999998,0.6751718944877466,-13.748089417653233,22.317385518911337,2.407245370813179,-0.4267766353439135,0.5088507434189469,0.4304349999999997,-1.249966249999999,-1.380583749999999,-1.6247944662774225,0.17945405556594962,-0.9907273037639159,-0.0844720750368401,-0.024033414376339345,-0.035338925004538696
1.19,-12.452,-11.533,-9.264999999999999,-3.1326565678195823,-8.101731121295078,24.786764611095514,4.9185123650452205,1.1845549633285515,0.1244419756671957,0.04200000000000004,0.18300000000000027,-16.218,-11.855,-0.86180867804976,-11.309820819385855,23.61739401225931,3.006896868567131,-0.05890486225480862,0.00872664625997168,0.5320959999999998,-1.9139022499999996,-1.8910937499999996,-0.8942620842247742,1.8089713505594376,-1.857498728030049,-0.13737226259738627,0.017723519152293823,-0.09515167167221202
1.238,-8.902000000000001,-1.523,-5.205,-4.758081700201902,-6.827640767339218,24.800901778036664,3.669554752318078,0.3218387140677544,1.5718435243460933,0.04800000000000004,-4.8445,-13.323000000000002,-10.132499999999999,-2.4220021296387912,-9.262069641252207,24.350694097484727,3.626750552412917,0.34143003492139073,-0.025350907385217614,0.4202199999999997,-2.6228862500000005,-2.41879375,1.6121988630304722,2.5659152016384694,-1.9296565336665465,-0.1201417799060495,0.12272079640504369,-0.1860433979529304
1.281,-1.522,-2.763,-3.975,-6.051719741780098,-6.404398423730592,24.579419495958582,2.4096015653033716,-0.6480407512654947,1.7791886394830194,0.04299999999999993,-7.117,-9.0005,-7.727499999999999,-3.9325409640085836,-7.760824685149286,24.646832838316868,4.182768818867011,0.32013701804705985,0.6493497482044903,0.1630477500000001,-3.1028415,-2.8027837499999992,3.3455380489811697,0.24582637448512235,-2.501349885280574,-0.013550436297799381,0.18317324029170082,-0.28131003596029336
1.323,0.778,-10.993,-6.045,-7.3574005551970565,-6.491664886330309,24.161762205956343,1.0962413031776383,-1.4856242592975735,-3.0707322859588233,0.04200000000000004,-5.5245,-6.702999999999999,-6.1225000000000005,-5.324964641249659,-6.9563587996738,24.582212022761773,3.0234774964610773,-0.15681783329169058,0.10118546338437129,-0.10242375000000015,-3.432615,-3.0936337499999995,-0.7822271730537457,3.0993856167410594,-3.3385379420343733,0.040279092096676565,0.2534226921074507,-0.4039476803339074
1.364,9.398,-27.893,-23.595000000000002,-7.846092745755469,-6.549435284571321,23.527858621632,6.129421800078886,-0.33265975543011916,-1.149648378288665,0.04100000000000015,-0.06200000000000028,-10.793,-9.705,-6.503323685733632,-6.5682848404928595,24.267485525395898,3.326204855219493,-0.5361215129813582,-0.21733712510459385,-0.21694700000000056,-3.7912830000000013,-3.418097500000001,-0.9643397423420815,4.334078231011197,-2.527864326901016,0.004474470331061978,0.4058087009863725,-0.5242089268470833
