time,[raw] acc (e_r),[raw] acc (e_theta),[raw] acc (e_phi),[raw] w (e_r),[raw] w (e_theta),[raw] w (e_phi),[raw] euler (alpha),[raw] euler (beta),[raw] euler (gamma),delta time,acc (e_r),acc (e_theta),acc (e_phi),w (e_r),w (e_theta),w (e_phi),euler (alpha),euler (beta),euler (gamma),vel (e_r),vel (e_theta),vel (e_phi),acc (x),acc (y),acc (z),vel (x),vel (y),vel (z),pos (x),pos (y),pos (z)
0.872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6020750707342378,0.553055432229338,-0.39016734824599697,0.04631790328877196,0.027901964535749522,0.12419204517152158,0,0,0,0.0,0.0,0.0,0.6020750707342378,0.553055432229338,-0.39016734824599697,0.0,0.0,0.0,0.0,0.0,0.0
0.915,0.0,0.0,0.0,-0.06750933546714066,-0.028536133270107285,0.4905596928580462,0.0,0.0,0.0,0.04300000000000004,2.808565269788734,2.5941504964471056,-1.8897182996320536,0.08529779879757737,0.060935375086798124,0.10250943981904626,0,0,0,0.07332876732124397,0.0676649274665436,-0.04901754142937813,2.808565269788734,2.5941504964471056,-1.8897182996320536,0.07332876732124397,0.0676649274665436,-0.04901754142937813,0.0015765684974067466,0.0014547959405306885,-0.0010538771407316307
0.956,9.659,8.84,-6.117,0.03406882699892931,-0.013177235852557189,-0.016632987771505958,6.2505476501672925,-0.0020943951023931952,0.004363323129985824,0.040999999999999925,6.255081955411005,5.835914904668323,-4.54045326558783,0.1470673459536087,0.12655633748217726,0.07224101933861532,0,0,0,0.24948935044640652,0.23117503947096824,-0.1720662035652397,6.255081955411005,5.835914904668323,-4.54045326558783,0.24948935044640652,0.23117503947096824,-0.1720662035652397,0.007431208122996298,0.006869960165374028,-0.00503795753821008
0.997,8.039,7.8100000000000005,-6.977,0.3950029163113567,0.19730947193795895,-0.18139206915977069,6.257005368399671,-0.006457718232379019,-0.0054105206811824215,0.041000000000000036,7.813423124544411,7.476058952955411,-6.386391306558848,0.20269238052141633,0.21647032287022036,0.05807735543985639,-0.0147043989480522,-0.0021380283336930534,-0.0002617993877991494,0.5604404222729318,0.5243211380635796,-0.41033581789945517,7.688979561022891,7.591814284557786,-6.400857871463567,0.558739693571471,0.5259031275954787,-0.41053352761981965,0.023853588620677418,0.022204461517457932,-0.016740694212637106
1.038,7.949,7.010000000000001,-7.017,0.668845075949267,0.35543630216864525,-0.13775883785991241,6.262415889080854,-0.017453292519943295,-0.02844886680750757,0.041000000000000036,7.360925498699004,7.850748572098821,-7.011313446108088,0.22604719781741453,0.3098646581587982,0.08150183027878352,-0.01989675347273523,-0.006501351463678877,-0.007374016089676042,0.8627085831276717,0.826917329748349,-0.6790630733836348,7.157539495759199,8.047471418945735,-6.99884459801642,0.8531260596149847,0.8359338334495199,-0.6796835046745067,0.053044721975742434,0.05020315240384025,-0.03912103639403677
1.078,6.029,8.98,-7.2170000000000005,-0.0380132711084365,0.5769185842467256,0.19402825294420964,6.260321493978461,-0.03717551306747922,-0.039269908169872414,0.040000000000000036,6.224603621619452,8.361498397539123,-7.218332350397984,0.21084880397844508,0.37953109766606397,0.1408773249511845,-0.025612706773016525,-0.01579522973054868,-0.017191493132144145,1.1479762620301102,1.1617728337113251,-0.9723348774320626,5.893664857568582,8.64261243806449,-7.164819077353141,1.1292140700467952,1.1792804514333084,-0.971354860266457,0.09251965984907622,0.09014690407585532,-0.07191203506559253
1.119,4.359,8.83,-7.777,0.03406882699892931,0.53555428097446,0.2921157569062909,6.2482787221397,-0.05899212871740834,-0.03490658503988659,0.040999999999999925,5.47092656604159,8.658236022168918,-7.16032153340517,0.16645674043006134,0.40544398683877236,0.20971190548803523,-0.026179938779914647,-0.030019663134302467,-0.02700897017461225,1.3714355109782812,1.5015796195951985,-1.260220860286084,5.025125463766506,8.992803903545488,-7.074170268952488,1.3351373987035704,1.5329947889985371,-1.2565956041640565,0.14372482217194094,0.14609717958388468,-0.11790632663300504
1.159,6.369,8.14,-5.897,0.4093146161777102,0.46451938041829083,0.4099254814159082,6.236235950300939,-0.07853981633974483,-0.046949356878647465,0.040000000000000036,5.357671315471709,8.763810167692967,-7.046502011958765,0.09732421102436907,0.3843742323477312,0.2574503187349785,-0.031372293304597676,-0.04804018766114392,-0.03739367922397851,1.6000533938514783,1.8603759069739285,-1.5516250193389143,4.735893157899549,9.193561342283862,-6.94348234153079,1.544453476685561,1.905497145677942,-1.5438960788987048,0.20057314306078647,0.21433093378137127,-0.17353320072621153
1.199,4.449,10.13,-8.197000000000001,0.009983283321407566,0.3248930402587445,0.4851491721768637,6.215641065127405,-0.09267698328089889,-0.05777039824101231,0.040000000000000036,5.1733308493344685,8.688242640829833,-7.291162499485587,-0.003993539596531648,0.32738050469218094,0.2737231593451593,-0.043065999292959845,-0.06684611035138283,-0.04472406208235469,1.7991014133417869,2.2002692107121407,-1.828720754695762,4.296751140728016,9.233582171247587,-7.1894960030579,1.712010055184807,2.2663365415842516,-1.8170968793391706,0.2667243069803493,0.2983814450944789,-0.24123001728764576
1.243,5.678999999999999,6.930000000000001,-6.817,0.011205013797803596,0.2563016006553673,0.054401912784663255,6.206914418867434,-0.10262536001726658,-0.05567600313861911,0.04400000000000004,4.841451616156872,8.196193855136222,-7.488816333403959,-0.14005339638591577,0.24651031066947965,0.27527737195824986,-0.05641776807071652,-0.08320857208882966,-0.04882558582454137,2.0318671740531,2.583625512733336,-2.1640186602527107,3.734043016364643,8.82804370196695,-7.404200475819033,1.9023196742055264,2.6744201071778746,-2.147993093877043,0.34517732171589993,0.40638917588782253,-0.3277806961453669
