time,[raw] acc (e_r),[raw] acc (e_theta),[raw] acc (e_phi),[raw] w (e_r),[raw] w (e_theta),[raw] w (e_phi),[raw] euler (alpha),[raw] euler (beta),[raw] euler (gamma),delta time,acc (e_r),acc (e_theta),acc (e_phi),w (e_r),w (e_theta),w (e_phi),euler (alpha),euler (beta),euler (gamma),vel (e_r),vel (e_theta),vel (e_phi),vel (x),vel (y),vel (z),pos (x),pos (y),pos (z)
0.881,0.0,0.0,0.0,-0.3019070540099791,0.35770523019623784,-1.1303275834690878,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
0.922,0.0,0.0,0.0,-0.00747000919853573,0.4886049240958126,-3.1615417669400885,0.0,0.0,0.0,0.041000000000000036,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.962,11.398,4.827,-6.185,0.4517261170011724,0.20935224377671982,-3.099233512643891,0.2541199390903744,6.239552075879728,0.008726646259971648,0.039999999999999925,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.003,6.628,-2.473,-8.985,0.5641253208296072,-0.422282412520028,-3.5791990569423318,0.38501963298994907,6.2482787221397,6.277774786498404,0.040999999999999925,4.5065,0.5885,-3.7924999999999995,0.1766185936555662,0.15834499638718558,-2.74257547999885,0.15978489302008086,6.26355035309465,0.0008290313946973907,0.09238324999999983,0.012064249999999978,-0.07774624999999985,0.09158152463481178,-0.0028541014846341735,-0.07955733057340608,0.0018774212550136382,-5.850908043500045e-05,-0.0016309252767548216
1.043,2.4080000000000004,-4.7829999999999995,-10.844999999999999,-0.23977333263898098,-0.3851068994525488,-3.871541706651382,0.5323254218582705,6.264684817108447,6.277774786498404,0.040000000000000036,5.1085,-0.6072499999999998,-6.503749999999999,0.1921520239983157,-0.027358036025011107,-3.427879010794423,0.2928662484846485,6.258925230576866,6.282661708403988,0.28468325,0.011689249999999981,-0.28367125000000004,0.2689737812759895,-0.07084384811144852,-0.290318486568709,0.00908852737322967,-0.0015324680723566558,-0.00902844161959713
1.084,-1.572,-9.302999999999999,-14.555,-0.5637064418091285,-0.28911379059286063,-3.317399669143182,0.6709045644666203,6.275505858470811,0.0153588974175501,0.04100000000000015,4.7155000000000005,-2.933,-10.142499999999998,0.05309291584566753,-0.2217877146971794,-3.4668434863451965,0.46059238960130355,6.257005368399671,0.0033161255787893945,0.48607525000000074,-0.06088587500000027,-0.6249193750000013,0.3918601326666293,-0.2726966395839153,-0.6344940053882329,0.022635622609053403,-0.00857504807011164,-0.027987097704714504
1.124,-0.452,-9.923,-12.705,-0.44816564532710396,0.014049900478554353,-1.6123875228699216,0.7625343501963225,0.0010471975511965976,0.032812189937493394,0.040000000000000036,1.7530000000000003,-6.6205,-11.772499999999999,-0.17188002473640157,-0.2706133005217208,-3.0951319889017044,0.5876959923777906,6.268175475612435,0.009337511498169832,0.6154452500000008,-0.25195587500000044,-1.0632193750000016,0.35649025797488626,-0.5608681244729059,-1.063499741884885,0.03760263042188373,-0.02524634335124808,-0.061946972650176894
1.165,-2.742,-10.732999999999999,-14.395,0.1267458102798282,0.30098202950642217,0.15912166790432303,0.7789404451650693,6.277774786498404,0.039269908169872414,0.040999999999999925,-0.5894999999999999,-8.6855,-13.125,-0.2812249023738463,-0.08979719001510822,-2.160551807690041,0.6861761954215706,6.275549491702111,0.020507618710933456,0.6392970000000008,-0.5657288749999998,-1.5736181250000008,0.12415154180784493,-0.8748499951958014,-1.556999581926381,0.0474557873174297,-0.05467856480445653,-0.11566720878830776
1.209,-4.072,-10.193,-14.254999999999999,0.662387357716888,0.36311575087742026,0.3434284369149242,0.7646287452987158,6.26363761955725,0.019547687622336492,0.04400000000000004,-2.2095000000000002,-10.037999999999998,-13.9775,-0.055684729784879095,0.09725847256738404,-1.1068092717984641,0.744252026281682,6.275287692314312,0.0267471707868131,0.5777190000000008,-0.9776458750000001,-2.1698731250000014,-0.2544407729595489,-1.1680925676009,-2.1374563679837,0.04458942423209221,-0.099623301185984,-0.19694523968632963
1.249,-0.882,-8.982999999999999,-11.955,0.6318440958069872,0.25089107997418486,0.7644018524959566,0.7440338601251827,6.251594847718489,6.277774786498404,0.040000000000000036,-2.037,-9.957999999999998,-13.3275,0.24320290461914984,0.2322596902091454,-0.08635889138867942,0.7625343501963225,6.269309939626232,0.021554816262130055,0.4927890000000007,-1.3775658750000004,-2.715973125000002,-0.6328591406906099,-1.3945416966259732,-2.6780182072987646,0.026843425959089017,-0.15087598647052153,-0.29325473119197903
1.29,0.978,-6.923,-10.915,0.4758116606786941,-0.019634954084936207,1.5236200771134898,0.6948155752189427,6.249325919690897,6.255958170848475,0.040999999999999925,-1.6795,-9.208,-12.879999999999999,0.4741972311205994,0.22383847656827274,0.6976430086071734,0.7456046564519776,6.26058329336626,0.0065449846949788,0.41660075000000085,-1.7704688749999997,-3.253226875000001,-0.9683419754946962,-1.6044733345672466,-3.221735628450027,-0.005981196922709698,-0.2123557946099824,-0.41419968482482905
1.332,3.208,-7.273,-9.885,0.6580240345869021,-0.21825342296189093,1.438622542541366,0.6370451769779303,6.258052565950868,6.232919824722149,0.04200000000000004,-0.19199999999999995,-8.343,-11.7525,0.6070167871973678,0.0940296134511945,1.0175182272664343,0.7101308394051928,6.255652738229376,6.267346444217738,0.3772992500000008,-2.139039875,-3.7705093750000014,-1.2117920815813346,-1.8085112046449845,-3.7676828995476517,-0.05176401212130638,-0.28402846993343933,-0.5609774739127804
